set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,conjunction,right,19,19,0,right,1,0.7668162999907508,None,,,,,0,19,19,19,66.37510030000703,,,,,,,,,,,,,,,,,66.36180660000537,66.37510030000703,66.86263879999751,66.89693069999339,66.92437179997796,67.6971192000201,,,,,,,,67.69719619996613,67.7080689999857,68.1939784999704,,66.92437179997796,,,,,,,,right,1,0.7668162999907508,None,68.2076509000035,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,conjunction,right,20,20,0,right,1,1.5119705999968573,None,,,,,0,20,20,8,68.2076509000035,,,,,,,,,,,,,,,,,68.19412469997769,68.2076509000035,68.69569600000978,68.75865959998919,68.7906872999738,70.31298629997764,,,,,,,,70.31305040000007,70.32472829998005,70.81362199998694,,68.7906872999738,,,,,,,,right,1,1.5119705999968573,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,1,conjunction,right,21,21,0,right,1,1.4083731000428088,None,,,,,0,21,21,31,70.82548920001136,,,,,,,,,,,,,,,,,70.8139110999764,70.82548920001136,71.3114813999855,71.3426485999953,71.35697149997577,72.77920609997818,,,,,,,,72.77928109996719,72.79056469997158,73.27677669998957,,71.35697149997577,,,,,,,,right,1,1.4083731000428088,None,73.29038839996792,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,1,feature,right,22,22,0,right,1,0.7042051000171341,None,,,,,0,22,22,1,73.29038839996792,,,,,,,,,,,,,,,,,73.27692659996683,73.29038839996792,73.77783969999291,73.7982865999802,73.82336179999402,74.52863580000121,,,,,,,,74.52870999998413,74.54064879997168,75.02787089999765,,73.82336179999402,,,,,,,,right,1,0.7042051000171341,None,75.04062089999206,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
24,1,feature,right,23,23,0,right,1,0.8507616000133567,None,,,,,0,23,23,14,75.04062089999206,,,,,,,,,,,,,,,,,75.02807449997636,75.04062089999206,75.5280110000167,75.565859299968,75.58962669997709,76.44568000000436,,,,,,,,76.44574649998685,76.45701899996493,76.94413299998268,,75.58962669997709,,,,,,,,right,1,0.8507616000133567,None,76.95768849999877,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,feature,right,24,24,0,right,1,0.6546492999768816,None,,,,,0,24,24,12,76.95768849999877,,,,,,,,,,,,,,,,,76.9443176999921,76.95768849999877,77.44375709997257,77.45037520001642,77.47290619998239,78.14409179997165,,,,,,,,78.1441935999901,78.15670569997746,78.64415399997961,,77.47290619998239,,,,,,,,right,1,0.6546492999768816,None,78.65702629997395,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,feature,left,25,25,0,left,1,0.538167099992279,None,,,,,0,25,25,4,78.65702629997395,,,,,,,,,,,,,,,,,78.6443416000111,78.65702629997395,79.1446124999784,79.16541040001903,79.18940789997578,79.72816619998775,,,,,,,,79.72824419999961,79.74020000000019,80.227324699983,,,,,,,,,,left,1,0.538167099992279,None,80.24000290001277,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,0,conjunction,left,26,26,0,left,1,0.8853293000138365,None,,,,,0,26,26,33,80.24000290001277,,,,,,,,,,,,,,,,,80.22750729997642,80.24000290001277,80.72786669997731,80.74497850000625,80.75548890000209,81.6469242000021,,,,,,,,81.64700980001362,81.65611039998475,82.143053399981,,80.75548890000209,,,,,,,,left,1,0.8853293000138365,None,82.1571482999716,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,feature,right,27,27,0,right,1,0.5552177999634296,None,,,,,0,27,27,0,82.1571482999716,,,,,,,,,,,,,,,,,82.14320789999329,82.1571482999716,82.64426289999392,82.65316950000124,82.67226889997255,83.24209070001962,,,,,,,,83.24215040000854,83.2559189000167,83.74270110001089,,82.67226889997255,,,,,,,,right,1,0.5552177999634296,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,conjunction,left,28,28,0,left,1,1.3850995000102557,None,,,,,0,28,28,34,83.75621479999973,,,,,,,,,,,,,,,,,83.74288219999289,83.75621479999973,84.2431585000013,84.27640239999164,84.30523639998864,85.69377349998103,,,,,,,,85.69383639999432,85.70599400001811,86.19309060001979,,,,,,,,,,left,1,1.3850995000102557,None,86.20617740001762,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,0,feature,left,29,29,0,left,1,1.1715976999839768,None,,,,,0,29,29,27,86.20617740001762,,,,,,,,,,,,,,,,,86.19327909999993,86.20617740001762,86.69168280001031,86.69794990000082,86.70573599997442,87.8918868000037,,,,,,,,87.89196280000033,87.9057407999644,88.39146369998343,,86.70573599997442,,,,,,,,left,1,1.1715976999839768,None,88.40532449999591,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,conjunction,left,30,30,0,left,1,1.8102432999876328,None,,,,,0,30,30,10,88.40532449999591,,,,,,,,,,,,,,,,,88.3916065999656,88.40532449999591,88.89306440000655,88.9308210000163,88.95463609998114,90.77598089998355,,,,,,,,90.77605109999422,90.78869040001882,91.27581710001687,,,,,,,,,,left,1,1.8102432999876328,None,91.2888086999883,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,1,feature,right,31,31,0,right,1,0.6067934000166133,None,,,,,0,31,31,13,91.2888086999883,,,,,,,,,,,,,,,,,91.27600409998558,91.2888086999883,91.77729469997576,91.80079710000427,91.82134670001687,92.44179389998317,,,,,,,,92.44186750001973,92.45491560001392,92.94145340000978,,,,,,,,,,right,1,0.6067934000166133,None,92.95527619996574,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
12,0,conjunction,left,32,32,0,left,1,1.3903035999974236,None,,,,,0,32,32,22,92.95527619996574,,,,,,,,,,,,,,,,,92.94163119996665,92.95527619996574,93.44136779999826,93.47271130001172,93.48736979998648,94.89284729998326,,,,,,,,94.89292989997193,94.9048815999995,95.39150199998403,,93.48736979998648,,,,,,,,left,1,1.3903035999974236,None,95.40455799998017,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,0,conjunction,left,33,33,0,left,1,1.2079375000321306,None,,,,,0,33,33,21,95.40455799998017,,,,,,,,,,,,,,,,,95.3916889000102,95.40455799998017,95.89183179999236,95.90631350001786,95.92032510001445,97.14230989996577,,,,,,,,97.14239739999175,97.15464919997612,97.64417779998621,,95.92032510001445,,,,,,,,left,1,1.2079375000321306,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,0,feature,left,34,34,0,left,1,0.4700380000285804,None,,,,,0,34,34,15,97.65544090000913,,,,,,,,,,,,,,,,,97.64450359996408,97.65544090000913,98.14411990001099,98.15509369998472,98.17045699997107,98.64362869999604,,,,,,,,98.64373890002025,98.65446270001121,99.14129850000609,,,,,,,,,,left,1,0.4700380000285804,None,99.15427900000941,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
4,1,conjunction,right,35,35,0,right,1,0.6080033999751322,None,,,,,0,35,35,6,99.15427900000941,,,,,,,,,,,,,,,,,99.14145910000661,99.15427900000941,99.64092420000816,99.65271569998004,99.66994130000239,100.2929658999783,,,,,,,,100.29306569998153,100.30477619997691,100.79375589999836,,99.66994130000239,,,,,,,,right,1,0.6080033999751322,None,,,,,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.79390859999694,100.81893900001887,103.80598110001301,pilot,001,2026-04-15_20h39.15.548,midterm_project,,2026.1.1,60.2493116421647,2026-04-15 20h39.15.791712 +0800,
