thisN,thisTrialN,thisRepN,set_size,target_present,condition_type,corr_resp,prac_key_resp.keys,prac_key_resp.corr,prac_key_resp.rt,prac_key_resp.duration,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,key_rest.keys,key_rest.rt,key_rest.duration,practice_repeat_loop.thisRepN,practice_repeat_loop.thisTrialN,practice_repeat_loop.thisN,practice_repeat_loop.thisIndex,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,reset_prac_acc.started,reset_prac_acc.stopped,fixation.started,fix_text.started,fixation.stopped,trial_prac.started,prac_key_resp.started,trial_prac.stopped,practice_loop.prac_key_resp.keys,practice_loop.prac_key_resp.corr,practice_loop.prac_key_resp.rt,practice_loop.prac_key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,fix_text.stopped,prac_feedback.started,prac_fb_text.started,prac_feedback.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,trial.started,key_resp.started,trial.stopped,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,rest_routine.started,rest_routine.stopped,formal_loop.key_rest.keys,rest_text.started,key_rest.started,formal_loop.key_rest.rt,formal_loop.key_rest.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
4,4,0,4,0,feature,left,,,,,left,1,0.7531262999982573,None,None,,,,,,,,,,,0,4,4,27,57.16847689996939,,,,,,,,,,,,,,,,,,,57.15308660001028,57.16847689996939,57.65250269998796,,,,,,,,,,,58.43849799997406,58.451217799971346,58.93501319998177,,58.951413100003265,57.67926710000029,,,,,,,,,,,57.67122779996134,57.67926710000029,58.43821759999264,left,1,0.7531262999982573,None,58.93511600000784,58.935236799996346,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
5,5,0,4,1,feature,right,,,,,right,1,1.0371396000264212,None,None,,,,,,,,,,,0,5,5,0,58.951413100003265,,,,,,,,,,,,,,,,,,,58.935759699961636,58.951413100003265,59.43555120000383,,,,,,,,,,,60.51927439996507,60.534430200001225,61.018176099983975,,61.03410489996895,59.46942899998976,,,,,,,,,,,59.4584575999761,59.46942899998976,60.51912989997072,right,1,1.0371396000264212,None,61.01828989997739,61.01836419996107,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
6,6,0,24,1,feature,right,,,,,right,1,0.7597919999971054,None,None,,,,,,,,,,,0,6,6,14,61.03410489996895,,,,,,,,,,,,,,,,,,,61.018795799987856,61.03410489996895,61.51835759996902,,,,,,,,,,,62.370983099972364,62.38396750000538,62.868495400005486,,62.88442690001102,61.59681909997016,,,,,,,,,,,61.576755599991884,61.59681909997016,62.370893399987835,right,1,0.7597919999971054,None,62.86860619997606,62.86869979999028,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
7,7,0,4,0,conjunction,left,,,,,left,1,0.5905652000219561,None,None,,,,,,,,,,,0,7,7,9,62.88442690001102,,,,,,,,,,,,,,,,,,,62.86936249997234,62.88442690001102,63.368310799996834,,,,,,,,,,,64.0017807999975,64.0169625999988,64.501743300003,,64.51762239995878,63.40336050000042,,,,,,,,,,,63.39508789998945,63.40336050000042,64.00166429998353,left,1,0.5905652000219561,None,64.50186570000369,64.50196039996808,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
8,8,0,24,1,conjunction,right,,,,,right,1,0.6498116999864578,None,None,,,,,,,,,,,0,8,8,32,64.51762239995878,,,,,,,,,,,,,,,,,,,64.50341989996377,64.51762239995878,65.00157500000205,,,,,,,,,,,65.75425080000423,65.76716709998436,66.25057999999262,,66.26722219999647,65.09467429999495,,,,,,,,,,,65.07518109999364,65.09467429999495,65.75415009999415,right,1,0.6498116999864578,None,66.25065110001015,66.2507120000082,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
9,9,0,4,1,feature,right,,,,,right,1,0.6684097000397742,None,None,,,,,,,,,,,0,9,9,12,66.26722219999647,,,,,,,,,,,,,,,,,,,66.25108179997187,66.26722219999647,66.7512974999845,,,,,,,,,,,67.45245270000305,67.46699779998744,67.95022220001556,,67.96662179997656,,,,,,,,,,,,66.76857149996795,66.7769421999692,67.4522707000142,right,1,0.6684097000397742,None,67.9502864999813,67.9503410999896,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
10,10,0,4,1,conjunction,right,,,,,right,1,0.612459999974817,None,space,1.9091984999831766,None,,,,,,,,,0,10,10,30,67.96662179997656,,,,,,,,,,,,,,,,,,,67.95067779999226,67.96662179997656,68.449975800002,,,,,,,,,,,69.08595839998452,69.09991779999109,69.5842241999926,,69.60012409999035,68.46985379996477,,,,,,,,,,,68.46281070000259,68.46985379996477,69.08579669997562,right,1,0.612459999974817,None,69.58433009998407,71.5169018000015,space,69.60012409999035,69.60012409999035,1.9091984999831766,None,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
11,11,0,12,1,conjunction,right,,,,,right,1,0.5416387000004761,None,None,,,,,,,,,,,0,11,11,31,71.532774399966,,,,,,,,,,,,,,,,,,,71.51728779997211,71.532774399966,72.01716930000111,,,,,,,,,,,72.6349513999885,72.64943340001628,73.13351149996743,,73.1495282999822,72.07755929999985,,,,,,,,,,,72.0662046999787,72.07755929999985,72.63484499999322,right,1,0.5416387000004761,None,73.13360999996075,73.13369340001373,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
12,12,0,12,0,feature,left,,,,,left,1,0.8465747999725863,None,None,,,,,,,,,,,0,12,12,28,73.1495282999822,,,,,,,,,,,,,,,,,,,73.13417889998527,73.1495282999822,73.63344619999407,,,,,,,,,,,74.53950419998728,74.54929830000037,75.03326250001555,,75.04966759996023,73.68594539997866,,,,,,,,,,,73.67281720001483,73.68594539997866,74.53926849999698,left,1,0.8465747999725863,None,75.03337139997166,75.03346419997979,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
13,13,0,24,1,feature,right,,,,,right,1,0.5249266999890096,None,None,,,,,,,,,,,0,13,13,26,75.04966759996023,,,,,,,,,,,,,,,,,,,75.03401389997452,75.04966759996023,75.53309199999785,,,,,,,,,,,76.13612270000158,76.14870819996577,76.63363090000348,,76.64899509999668,75.60656009998638,,,,,,,,,,,75.58882619999349,75.60656009998638,76.13602480001282,right,1,0.5249266999890096,None,76.63379509997321,76.63395960000344,None,,,,,,,,808749,001,2026-04-19_21h42.41.521,midterm_project,,2026.1.1,60.07727139435495,2026-04-19 21h42.41.766365 +0800,
