set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,feature,left,11,11,0,None,0,,,,,,,0,11,11,4,58.97701019997476,,,,,,,,,,,,,,,,,58.96344749996206,58.97701019997476,59.46451550000347,59.48839479999151,59.50971449998906,61.463279799965676,,,,,,,,,,,,,,,None,0,,,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,conjunction,right,12,12,0,right,1,1.7484377000364475,None,,,,,0,12,12,20,61.477238499966916,,,,,,,,,,,,,,,,,61.463457499979995,61.477238499966916,61.9653849999886,62.03270219999831,62.059431199973915,63.81504849996418,,,,,,,,,,,,,,,right,1,1.7484377000364475,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,feature,left,13,13,0,left,1,0.6858593999641016,None,,,,,0,13,13,28,63.82669590000296,,,,,,,,,,,,,,,,,63.815222000004724,63.82669590000296,64.31366809998872,64.33303219999652,64.35894409997854,65.04748040001141,,,,,,,,,,,,,,,left,1,0.6858593999641016,None,64.35894409997854,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,conjunction,left,14,14,0,right,0,1.360827700002119,None,,,,,0,14,14,22,65.05926139996154,,,,,,,,,,,,,,,,,65.04766430001473,65.05926139996154,65.55084159999387,65.59406420000596,65.60912489995826,66.98057259997586,,,,,,,,,,,,,,,right,0,1.360827700002119,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,conjunction,right,15,15,0,left,0,0.6487383000203408,None,,,,,0,15,15,30,66.99307490000501,,,,,,,,,,,,,,,,,66.98076979996404,66.99307490000501,67.48181500000646,67.49662469996838,67.50867849995848,68.16249479999533,,,,,,,,,,,,,,,left,0,0.6487383000203408,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,feature,right,16,16,0,right,1,1.2192801000201143,None,,,,,0,16,16,14,68.17547169997124,,,,,,,,,,,,,,,,,68.16267220000736,68.17547169997124,68.66252919996623,68.69705849996535,68.72568869998213,69.94973599998048,,,,,,,,,,,,,,,right,1,1.2192801000201143,None,68.72568869998213,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,conjunction,right,17,17,0,right,1,1.2164646000019275,None,,,,,0,17,17,19,69.95885559997987,,,,,,,,,,,,,,,,,69.94997549999971,69.95885559997987,70.44527869997546,70.47805189999053,70.49103659996763,71.71317890001228,,,,,,,,,,,,,,,right,1,1.2164646000019275,None,70.49103659996763,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,conjunction,left,18,18,0,left,1,0.6908264000085182,None,,,,,0,18,18,33,71.72609079995891,,,,,,,,,,,,,,,,,71.71337399998447,71.72609079995891,72.21332989999792,72.2267986999941,72.2415222999989,72.94877049996285,,,,,,,,,,,,,,,left,1,0.6908264000085182,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,feature,right,19,19,0,right,1,0.8079885999904945,None,,,,,0,19,19,12,72.95892780000577,,,,,,,,,,,,,,,,,72.9490749000106,72.95892780000577,73.44572399999015,73.45354329998372,73.47505599999567,74.29682240000693,,,,,,,,,,,,,,,right,1,0.8079885999904945,None,73.47505599999567,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,feature,right,20,20,0,right,1,1.4076597000239417,None,,,,,0,20,20,24,74.30902889999561,,,,,,,,,,,,,,,,,74.29705449996982,74.30902889999561,74.79812950000633,74.81241999997292,74.82490399997914,76.24528709996957,,,,,,,,,,,,,,,right,1,1.4076597000239417,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,conjunction,left,21,21,0,left,1,1.3166333000408486,None,,,,,0,21,21,34,76.25838809995912,,,,,,,,,,,,,,,,,76.24546549998922,76.25838809995912,76.7451771000051,76.77847349998774,76.79086469998583,78.11268309998559,,,,,,,,,,,,,,,left,1,1.3166333000408486,None,76.79086469998583,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,conjunction,right,22,22,0,right,1,0.9090652000159025,None,,,,,0,22,22,7,78.12447939999402,,,,,,,,,,,,,,,,,78.11285239999415,78.12447939999402,78.614379799983,78.65579609997803,78.67363849998219,79.5964761999785,,,,,,,,,,,,,,,right,1,0.9090652000159025,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,conjunction,left,23,23,0,None,0,,,,,,,0,23,23,35,79.60805959999561,,,,,,,,,,,,,,,,,79.59668269997928,79.60805959999561,80.09566409996478,80.16331229999196,80.1903720999835,82.11043719999725,,,,,,,,,,,,,,,None,0,,,80.1903720999835,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,feature,right,24,24,0,right,1,0.905519199965056,None,,,,,0,24,24,0,82.1244136999594,,,,,,,,,,,,,,,,,82.11061550001614,82.1244136999594,82.61109329998726,82.61837959999684,82.6400236999616,83.56275009998353,,,,,,,,,,,,,,,right,1,0.905519199965056,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,feature,right,25,25,0,left,0,0.6679110999684781,None,,,,,0,25,25,26,83.57413590000942,,,,,,,,,,,,,,,,,83.56302369997138,83.57413590000942,84.06194719998166,84.10579739999957,84.1398192999768,84.81237389997113,,,,,,,,,,,,,,,left,0,0.6679110999684781,None,84.1398192999768,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,feature,left,26,26,0,left,1,1.1802299999981187,None,,,,,0,26,26,3,84.82386840000981,,,,,,,,,,,,,,,,,84.81255609996151,84.82386840000981,85.31126859999495,85.31951920001302,85.33978929999284,86.52632689999882,,,,,,,,,,,,,,,left,1,1.1802299999981187,None,85.33978929999284,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,conjunction,left,27,27,0,left,1,0.8772224999847822,None,,,,,0,27,27,21,86.53992359997937,,,,,,,,,,,,,,,,,86.52648309996584,86.53992359997937,87.02835009997943,87.04469919996336,87.05579479999142,87.94393239996862,,,,,,,,,,,,,,,left,1,0.8772224999847822,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,0,feature,left,28,28,0,left,1,1.2435951000079513,None,,,,,0,28,28,16,87.95701159996679,,,,,,,,,,,,,,,,,87.9441383999656,87.95701159996679,88.44412200001534,88.46630540001206,88.48930770001607,89.743678800005,,,,,,,,,,,,,,,left,1,1.2435951000079513,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,feature,left,29,29,0,left,1,1.2388549000024796,None,,,,,0,29,29,17,89.75673610001104,,,,,,,,,,,,,,,,,89.74385319999419,89.75673610001104,90.24285719997715,90.27850189997116,90.30599889997393,91.56090619997121,,,,,,,,,,,,,,,left,1,1.2388549000024796,None,90.30599889997393,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,1,conjunction,right,30,30,0,right,1,0.6900277999811806,None,,,,,0,30,30,32,91.57302359997993,,,,,,,,,,,,,,,,,91.5610826999764,91.57302359997993,92.06345789995976,92.13531059998786,92.15541909995954,92.84684989997186,,,,,,,,,,,,,,,right,1,0.6900277999811806,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,1,conjunction,right,31,31,0,right,1,1.4231244000256993,None,,,,,0,31,31,18,92.85640340001555,,,,,,,,,,,,,,,,,92.84706389997154,92.85640340001555,93.34292899997672,93.35296930000186,93.37200510001276,94.81084140000166,,,,,,,,,,,,,,,right,1,1.4231244000256993,None,93.37200510001276,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,feature,left,32,32,0,left,1,1.494698399968911,None,,,,,0,32,32,15,94.82265250000637,,,,,,,,,,,,,,,,,94.81109719997039,94.82265250000637,95.30971810000483,95.3174021000159,95.33833709999453,96.84160869999323,,,,,,,,,,,,,,,left,1,1.494698399968911,None,95.33833709999453,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
4,0,conjunction,left,33,33,0,left,1,1.024393700005021,None,,,,,0,33,33,9,96.85578639997402,,,,,,,,,,,,,,,,,96.8417657999671,96.85578639997402,97.34247340000002,97.35481270001037,97.3712463999982,98.4103582999669,,,,,,,,,,,,,,,left,1,1.024393700005021,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
24,0,conjunction,left,34,34,0,left,1,1.849763999984134,None,,,,,0,34,34,23,98.42244059999939,,,,,,,,,,,,,,,,,98.41054859996075,98.42244059999939,98.91221450001467,98.98596449999604,99.02073619997827,100.87669999996433,,,,,,,,,,,,,,,left,1,1.849763999984134,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
12,1,feature,right,35,35,0,right,1,0.7741743000224233,None,,,,,0,35,35,13,100.88846599997487,,,,,,,,,,,,,,,,,100.87685970001621,100.88846599997487,101.37699359998805,101.40302560001146,101.42084719997365,102.20868019998306,,,,,,,,,,,,,,,right,1,0.7741743000224233,None,,pilot,001,2026-04-15_11h26.17.108,midterm_project,,2026.1.1,60.26038511445444,2026-04-15 11h26.17.381845 +0800,
