set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,fb_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,conjunction,right,12,12,0,left,0,1.0339554999954998,None,,,,,0,12,12,7,47.69888380001066,,,,,,,,,,,,,,,,,47.68628639995586,47.69888380001066,48.18723779998254,48.22363789996598,48.247477199998684,49.2868803999736,,,,,,,,,,,,,,,,left,0,1.0339554999954998,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,conjunction,left,13,13,0,right,0,0.8702367999940179,None,,,,,0,13,13,34,49.298248399980366,,,,,,,,,,,,,,,,,49.287064699979965,49.298248399980366,49.786091599962674,49.82753459998639,49.847151800000574,50.71994539996376,,,,,,,,,,,,,,,,right,0,0.8702367999940179,None,49.847151800000574,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,feature,left,14,14,0,left,1,1.2454096999717876,None,,,,,0,14,14,5,50.731268399977125,,,,,,,,,,,,,,,,,50.72013659996446,50.731268399977125,51.22080359997926,51.263032699993346,51.29732209997019,52.55277670000214,,,,,,,,,,,,,,,,left,1,1.2454096999717876,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,1,conjunction,right,15,15,0,right,1,1.483022800006438,None,,,,,0,15,15,20,52.564581999962684,,,,,,,,,,,,,,,,,52.552950499986764,52.564581999962684,53.051805299997795,53.11117369995918,53.147170799958985,54.63689590001013,,,,,,,,,,,,,,,,right,1,1.483022800006438,None,53.147170799958985,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
24,0,feature,left,16,16,0,left,1,0.7668919999850914,None,,,,,0,16,16,29,54.647803400002886,,,,,,,,,,,,,,,,,54.63707289996091,54.647803400002886,55.137030599988066,55.184324399975594,55.213424399960786,55.98751909995917,,,,,,,,,,,,,,,,left,1,0.7668919999850914,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,1,conjunction,right,17,17,0,right,1,1.396099699952174,None,,,,,0,17,17,19,55.99712429998908,,,,,,,,,,,,,,,,,55.98775490000844,55.99712429998908,56.4861477999948,56.52170069998829,56.546490099979565,57.95066259999294,,,,,,,,,,,,,,,,right,1,1.396099699952174,None,56.546490099979565,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,conjunction,left,18,18,0,left,1,0.846589699969627,None,,,,,0,18,18,22,57.96389439998893,,,,,,,,,,,,,,,,,57.9508319000015,57.96389439998893,58.45012749999296,58.4818862999673,58.496176499989815,59.350967600010335,,,,,,,,,,,,,,,,left,1,0.846589699969627,None,58.496176499989815,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,0,feature,left,19,19,0,left,1,1.5338799000019208,None,,,,,0,19,19,16,59.36369410000043,,,,,,,,,,,,,,,,,59.351153299969155,59.36369410000043,59.8503068999853,59.86927339999238,59.8962465999648,61.434815099986736,,,,,,,,,,,,,,,,left,1,1.5338799000019208,None,59.8962465999648,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
4,0,feature,left,20,20,0,left,1,0.6805426999926567,None,,,,,0,20,20,3,61.4467403999879,,,,,,,,,,,,,,,,,61.43502420000732,61.4467403999879,61.93586669996148,61.94685730000492,61.96251809998648,62.649907399958465,,,,,,,,,,,,,,,,left,1,0.6805426999926567,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
12,1,feature,right,21,21,0,right,1,0.7097796999732964,None,,,,,0,21,21,25,62.66317109996453,,,,,,,,,,,,,,,,,62.65009449998615,62.66317109996453,63.150229699967895,63.17250399995828,63.19545150001068,63.918346099962946,,,,,,,,,,,,,,,,right,1,0.7097796999732964,None,,,,,pilot,001,2026-04-15_11h40.16.202,midterm_project,,2026.1.1,60.06254913948419,2026-04-15 11h40.16.438966 +0800,
