set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fix_text.stopped,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,0,feature,left,22,22,0,left,1,0.7924842999782413,None,,,,,0,22,22,4,68.54445729998406,,,,,,,,,,,,,,,,,68.52984579995973,68.54445729998406,69.07272249995731,69.02829439996276,69.06143050000537,69.07272249995731,69.88067300000694,,,,,,,,69.88081770000281,69.89376479998464,70.37775290000718,,70.3938979000086,,,,,,,,left,1,0.7924842999782413,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,1,feature,right,23,23,0,right,1,0.9540744999540038,None,,,,,0,23,23,1,70.3938979000086,,,,,,,,,,,,,,,,,70.37820039998041,70.3938979000086,70.92346570000518,70.87739799998235,70.91227749997051,70.92346570000518,71.88008360000094,,,,,,,,71.88019509997685,71.89315969997551,72.37700430001132,,72.39331399998628,,,,,,,,right,1,0.9540744999540038,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,1,conjunction,right,24,24,0,right,1,0.8499214999610558,None,,,,,0,24,24,19,72.39331399998628,,,,,,,,,,,,,,,,,72.3772917999886,72.39331399998628,72.9404711999814,72.8777143000043,72.92877429997316,72.9404711999814,73.79565589997219,,,,,,,,73.79576339997584,73.80969919997733,74.29366219998337,,74.30974709999282,,,,,,,,right,1,0.8499214999610558,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,feature,right,25,25,0,right,1,0.6937874999712221,None,,,,,0,25,25,12,74.30974709999282,,,,,,,,,,,,,,,,,74.29401319997851,74.30974709999282,74.80947310000192,74.7934271999984,74.802529699984,74.80947310000192,75.51093270001002,,,,,,,,75.51105299999472,75.52615240000887,76.0102121999953,,76.0269993999973,,,,,,,,right,1,0.6937874999712221,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,conjunction,right,26,26,0,right,1,0.9568538999883458,None,,,,,0,26,26,18,76.0269993999973,,,,,,,,,,,,,,,,,76.010736599972,76.0269993999973,76.54543509997893,76.51060290000169,76.53675919998204,76.54543509997893,77.51063510001404,,,,,,,,77.51075640000636,77.5257380999974,78.01093419996323,,78.02686290000565,,,,,,,,right,1,0.9568538999883458,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,1,conjunction,right,27,27,0,right,1,0.468031800002791,None,,,,,0,27,27,6,78.02686290000565,,,,,,,,,,,,,,,,,78.01160989998607,78.02686290000565,78.54783120000502,78.5114167999709,78.53946930001257,78.54783120000502,79.02780049998546,,,,,,,,79.02795560000231,79.04263099998934,79.52779119997285,,79.54324440000346,,,,,,,,right,1,0.468031800002791,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,conjunction,right,28,28,0,right,1,0.8400567999924533,None,,,,,0,28,28,32,79.54324440000346,,,,,,,,,,,,,,,,,79.52862409997033,79.54324440000346,80.12505599996075,80.02740159997484,80.10536829999182,80.12505599996075,80.9797561999876,,,,,,,,80.97985080000944,80.99220729997614,81.47615509998286,,81.49230829998851,,,,,,,,right,1,0.8400567999924533,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,0,feature,left,29,29,0,left,1,0.8276069000130519,None,,,,,0,29,29,5,81.49230829998851,,,,,,,,,,,,,,,,,81.47653759998502,81.49230829998851,82.03790289995959,81.97562260000268,82.01924809999764,82.03790289995959,82.88041310000699,,,,,,,,82.88053069997113,82.89192049996927,83.37576689996058,,83.3919012999977,,,,,,,,left,1,0.8276069000130519,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,feature,right,30,30,0,right,1,0.6108648999943398,None,,,,,0,30,30,2,83.3919012999977,,,,,,,,,,,,,,,,,83.37622219999321,83.3919012999977,83.94223799998872,83.87592059996678,83.9231526000076,83.94223799998872,84.56180550000863,,,,,,,,84.56189650000306,84.57529519998934,85.06031799997436,,85.07492889999412,,,,,,,,right,1,0.6108648999943398,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,feature,left,31,31,0,left,1,1.2424222000408918,None,,,,,0,31,31,27,85.07492889999412,,,,,,,,,,,,,,,,,85.06100280000828,85.07492889999412,85.58671810000669,85.55953149998095,85.57763969997177,85.58671810000669,86.84364809998078,,,,,,,,86.84377729997505,86.8579501999775,87.34270899998955,,87.35853769996902,,,,,,,,left,1,1.2424222000408918,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
4,0,feature,left,32,32,0,left,1,0.67832870001439,None,,,,,0,32,32,3,87.35853769996902,,,,,,,,,,,,,,,,,87.34345559997018,87.35853769996902,87.86277979996521,87.84201630001189,87.85516719997395,87.86277979996521,88.54595329996664,,,,,,,,88.54613949998748,88.55795799999032,89.04168669995852,,89.057886399969,,,,,,,,left,1,0.67832870001439,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
24,1,conjunction,right,33,33,0,right,1,0.8630411999765784,None,,,,,0,33,33,8,89.057886399969,,,,,,,,,,,,,,,,,89.04209120001178,89.057886399969,89.65258309995988,89.5424975999631,89.63340880000032,89.65258309995988,90.5286334999837,,,,,,,,90.52873459999682,90.54089890001342,91.02431489998708,,91.04074019996915,,,,,,,,right,1,0.8630411999765784,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,0,feature,left,34,34,0,left,1,1.1136758000357077,None,,,,,0,34,34,16,91.04074019996915,,,,,,,,,,,,,,,,,91.02456329995766,91.04074019996915,91.56452049996005,91.52463190001436,91.55333480000263,91.56452049996005,92.67897810001159,,,,,,,,92.67915229999926,92.69064399995841,93.17558949999511,,93.19119799998589,,,,,,,,left,1,1.1136758000357077,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
12,1,conjunction,right,35,35,0,right,1,0.6660331999883056,None,,,,,0,35,35,7,93.19119799998589,,,,,,,,,,,,,,,,,93.17652539996197,93.19119799998589,93.72455769998487,93.67431139998371,93.71303589997115,93.72455769998487,94.39437970001018,,,,,,,,94.39458550000563,94.40743039996596,94.89166989998193,,94.9267295000027,,,,,,,,right,1,0.6660331999883056,None,,,,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,94.89203200000338,94.9267295000027,97.90677509998204,4,001,2026-04-15_22h21.11.416,midterm_project,,2026.1.1,59.969367630186596,2026-04-15 22h21.11.665738 +0800,
