set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,fb_text.stopped,feedback.stopped,ITI.started,ITI_text.started,ITI_text.stopped,ITI.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
24,0,feature,left,1,1,0,left,1,0.650922900007572,None,,,,,0,1,1,5,34.015710500010755,,,,,,,,,,,,,,,,,33.999979300017,34.015710500010755,34.49975349998567,34.56137070001569,34.58004590001656,35.321523000020534,,,,,,,,,35.32168230001116,35.32513419998577,35.832093700009864,35.815597200009506,34.58004590001656,,,,,,,,left,1,0.650922900007572,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,2,2,0,right,1,0.6105348999844864,None,,,,,0,2,2,14,35.832093700009864,,,,,,,,,,,,,,,,,35.8157447000267,35.832093700009864,36.317014599975664,36.377097200020216,36.3957764999941,37.0185468000127,,,,,,,,,37.018630900012795,37.03171279997332,37.53174599999329,37.51627959997859,36.3957764999941,,,,,,,,right,1,0.6105348999844864,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,0,feature,left,3,3,0,left,1,0.6490629999898374,None,,,,,0,3,3,29,37.53174599999329,,,,,,,,,,,,,,,,,37.51673329999903,37.53174599999329,38.01609889999963,38.075923900003545,38.094968700024765,38.75326790002873,,,,,,,,,38.75338730000658,38.765074599999934,39.265315699973144,39.2497343000141,38.094968700024765,,,,,,,,left,1,0.6490629999898374,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,conjunction,right,4,4,0,right,1,1.2627228000201285,None,,,,,0,4,4,8,39.265315699973144,,,,,,,,,,,,,,,,,39.25047500000801,39.265315699973144,39.74908560002223,39.83342550002271,39.85594929999206,41.119672400003765,,,,,,,,,41.119804900023155,41.131467500003055,41.63148009998258,41.61636689997977,39.85594929999206,,,,,,,,right,1,1.2627228000201285,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
24,1,feature,right,5,5,0,right,1,0.5056818000157364,None,,,,,0,5,5,2,41.63148009998258,,,,,,,,,,,,,,,,,41.61707799998112,41.63148009998258,42.11609710002085,42.18140900001163,42.20065010001417,42.71921110001858,,,,,,,,,42.719308400002774,42.73103219998302,43.23134980001487,43.21599019999849,42.20065010001417,,,,,,,,right,1,0.5056818000157364,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,conjunction,right,6,6,0,right,1,0.6480128000257537,None,,,,,0,6,6,31,43.23134980001487,,,,,,,,,,,,,,,,,43.21706350002205,43.23134980001487,43.715110299992375,43.75896499998635,43.7709990000003,44.433019799995236,,,,,,,,,44.43311560002621,44.44737549999263,44.94740629999433,44.93146990000969,43.7709990000003,,,,,,,,right,1,0.6480128000257537,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,0,conjunction,left,7,7,0,left,1,0.8108932999894023,None,,,,,0,7,7,9,44.94740629999433,,,,,,,,,,,,,,,,,44.93193510000128,44.94740629999433,45.43105979997199,45.45088969997596,45.45761600002879,46.28131910000229,,,,,,,,,46.28139790002024,46.296980699989945,,46.781715899996925,45.45761600002879,,,,,,,,left,1,0.8108932999894023,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,0,feature,left,8,8,0,left,1,1.2946803999948315,None,,,,,0,8,8,16,46.79728920001071,,,,,,,,,,,,,,,,,46.78258649999043,46.79728920001071,47.28196549997665,47.322005999973044,47.33575570001267,48.63228630000958,,,,,,,,,48.632351199979894,48.64669830002822,49.147435799997766,49.13161570002558,,,,,,,,,left,1,1.2946803999948315,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
12,1,feature,right,9,9,0,right,1,0.5469257999793626,None,,,,,0,9,9,13,49.147435799997766,,,,,,,,,,,,,,,,,49.13236719998531,49.147435799997766,49.63078260002658,49.65859130001627,49.67179739999119,50.232118499989156,,,,,,,,,50.23220600001514,50.24688280001283,50.74654070002725,50.730306299985386,49.67179739999119,,,,,,,,right,1,0.5469257999793626,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
4,1,feature,right,10,10,0,right,1,0.7341029999661259,None,,,,,0,10,10,24,50.74654070002725,,,,,,,,,,,,,,,,,50.73059699998703,50.74654070002725,51.23099389998242,51.25265340000624,51.261344099999405,52.00041360000614,,,,,,,,,52.000784799980465,52.01325130002806,52.51332089997595,52.49760010000318,51.261344099999405,,,,,,,,right,1,0.7341029999661259,None,,,,3,001,2026-04-15_22h02.00.457,midterm_project,,2026.1.1,60.224202672231044,2026-04-15 22h02.00.767021 +0800,
