set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,ITI_text.stopped,fix_text.stopped,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,conjunction,right,19,19,0,right,1,0.7241608999993332,None,,,,,0,19,19,7,139.5747879999999,,,,,,,,,,,,,,,,,139.55828570000085,139.5747879999999,140.07269570000062,140.1195459999999,140.13274620000084,140.85875699999997,,,,,,140.85888030000024,140.87219480000022,141.35624240000107,,,,,,,,,,right,1,0.7241608999993332,None,141.3726712000007,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,0,feature,left,20,20,0,right,0,1.6115919000003487,None,,,,,0,20,20,3,141.3726712000007,,,,,,,,,,,,,,,,,141.35668930000065,141.3726712000007,141.85616400000072,141.8753488000002,141.88737010000114,143.50809120000122,,,,,,143.50823000000128,143.5219089000002,144.00673300000017,,,,,,,,,,right,0,1.6115919000003487,None,144.02242210000077,141.88737010000114,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,1,feature,right,21,21,0,left,0,1.5402451999998448,None,,,,,0,21,21,1,144.02242210000077,,,,,,,,,,,,,,,,,144.00725969999985,144.02242210000077,144.50863420000132,144.54149980000147,144.5559506999998,146.10788760000105,,,,,,146.10800860000018,146.1213443000015,146.60584870000093,,,,,,,,,,left,0,1.5402451999998448,None,146.6219232000003,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,1,feature,right,22,22,0,None,0,,,,,,,0,22,22,13,146.6219232000003,,,,,,,,,,,,,,,,,146.60631960000137,146.6219232000003,147.10742420000133,147.14313870000115,147.15600030000132,149.12115870000162,,,,,,149.12126900000112,149.13792640000065,149.62113300000055,,,,,,,,,,None,0,,,,147.15600030000132,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,feature,right,23,23,0,right,1,1.163425200000347,None,,,,,0,23,23,26,149.63762490000045,,,,,,,,,,,,,,,,,149.62154340000052,149.63762490000045,150.12232910000057,150.19036360000064,150.21164150000004,151.37632680000024,,,,,,151.3764658,151.38771850000012,151.87342780000108,,,,,,,,,,right,1,1.163425200000347,None,151.88919560000068,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,1,feature,right,24,24,0,None,0,,,,,,,0,24,24,25,151.88919560000068,,,,,,,,,,,,,,,,,151.87403070000073,151.88919560000068,152.3879160000015,152.43466460000127,152.45226189999994,154.38683740000124,,,,,,154.3869364000002,154.40244080000048,154.88997740000013,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,0,conjunction,left,25,25,0,right,0,0.6454580000008718,None,,,,,0,25,25,11,154.9062498000003,,,,,,,,,,,,,,,,,154.89117670000087,154.9062498000003,155.38623670000015,155.46271930000148,155.48752109999987,156.14284600000065,,,,,,156.1430416000003,156.15323910000006,156.63690690000112,,,,,,,,,,right,0,0.6454580000008718,None,156.65337210000143,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,conjunction,right,26,26,0,right,1,0.8003404999999475,None,,,,,0,26,26,6,156.65337210000143,,,,,,,,,,,,,,,,,156.63720240000112,156.65337210000143,157.1407431000007,157.16778400000112,157.17663960000027,157.98809660000006,,,,,,157.98821959999987,158.00390490000063,158.48692240000128,,,,,,,,,,right,1,0.8003404999999475,None,158.50338750000083,157.17663960000027,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,feature,right,27,27,0,right,1,1.6506012999998347,None,,,,,0,27,27,0,158.50338750000083,,,,,,,,,,,,,,,,,158.4873406000006,158.50338750000083,158.98882690000028,159.0102835000016,159.01913520000016,160.6745264000001,,,,,,160.67467970000143,160.68618590000005,161.1732918000016,,,,,,,,,,right,1,1.6506012999998347,None,161.18826230000013,159.01913520000016,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,feature,right,28,28,0,None,0,,,,,,,0,28,28,24,161.18826230000013,,,,,,,,,,,,,,,,,161.17388350000147,161.18826230000013,161.6720261999999,161.68809430000147,161.69671910000034,163.68576320000102,,,,,,163.68585580000035,163.70217709999997,164.1861097000001,,,,,,,,,,None,0,,,,161.69671910000034,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,conjunction,right,29,29,0,None,0,,,,,,,0,29,29,20,164.20268340000075,,,,,,,,,,,,,,,,,164.18640659999983,164.20268340000075,164.68593990000045,164.7586207000004,164.77964060000158,166.68555130000095,,,,,,166.68574100000114,166.7020949000016,167.1870123000008,,,,,,,,,,None,0,,,,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,feature,right,30,30,0,right,1,0.9761322000013024,None,,,,,0,30,30,14,167.2020072000014,,,,,,,,,,,,,,,,,167.18759300000056,167.2020072000014,167.68614510000043,167.74411230000078,167.76443070000096,168.75670050000008,,,,,,168.75688100000116,168.76874640000096,169.25345190000007,,,,,,,,,,right,1,0.9761322000013024,None,169.2690599000016,,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,conjunction,right,31,31,0,right,1,0.6074197999987518,None,,,,,0,31,31,8,169.2690599000016,,,,,,,,,,,,,,,,,169.25389570000152,169.2690599000016,169.75454180000088,169.83769630000097,169.8598946000002,170.47495620000154,,,,,,170.47509910000008,170.48568740000155,170.9691655000006,,,,,,,,,,right,1,0.6074197999987518,None,170.9852471000013,169.8598946000002,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,conjunction,right,32,32,0,right,1,0.550177099999928,None,,,,,0,32,32,32,170.9852471000013,,,,,,,,,,,,,,,,,170.96953100000064,170.9852471000013,171.46962570000142,171.5406512999998,171.56163350000134,172.12357350000093,,,,,,172.12369650000073,172.13442560000112,172.61895950000144,,,,,,,,,,right,1,0.550177099999928,None,172.63532400000076,171.56163350000134,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
12,1,conjunction,right,33,33,0,left,0,0.2832619999990129,None,,,,,0,33,33,31,172.63532400000076,,,,,,,,,,,,,,,,,172.61947540000074,172.63532400000076,173.11880220000057,173.19283050000013,173.20619810000062,173.50568050000038,,,,,,173.50582740000027,173.51833540000007,174.0019200000006,,,,,,,,,,left,0,0.2832619999990129,None,174.0184474000016,173.20619810000062,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
4,1,feature,right,34,34,0,left,0,0.6700858999993216,None,,,,,0,34,34,12,174.0184474000016,,,,,,,,,,,,,,,,,174.002290800001,174.0184474000016,174.50187520000145,174.5197618000002,174.5328636000013,175.20507160000125,,,,,,175.20525009999983,175.21852709999985,175.70214510000005,,,,,,,,,,left,0,0.6700858999993216,None,175.7184311000001,174.5328636000013,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
24,1,feature,right,35,35,0,left,0,0.7328125999993063,None,,,,,0,35,35,2,175.7184311000001,,,,,,,,,,,,,,,,,175.70252400000027,175.7184311000001,176.20475520000036,176.26069559999996,176.2811236000016,177.02279330000056,,,,,,177.02291590000095,177.0338539000004,177.5183407000004,,,,,,,,,,left,0,0.7328125999993063,None,177.59596310000052,176.2811236000016,,,,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,177.51855700000124,177.59596310000052,180.5344851000009,190332,001,2026-04-16_10h43.17.905,midterm_project,,2026.1.1,59.82560835159888,2026-04-16 10h43.19.067647 +0800,
