set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,practice_loop.key_resp.rt,practice_loop.key_resp.duration,fb_text.stopped,ITI_text.stopped,fix_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,feature,right,18,18,0,right,1,0.6907333999988623,None,,,,,0,18,18,25,59.78716219996568,,,,,,,,,,,,,,,,,59.77187649998814,59.78716219996568,60.27033799997298,60.29883410001639,60.310224000015296,61.005993900005706,,,,,,61.00609149999218,61.01949209999293,61.503553899994586,,,,61.51961419999134,60.310224000015296,,,,,,,,right,1,0.6907333999988623,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,conjunction,left,19,19,0,left,1,1.1649262999999337,None,,,,,0,19,19,11,61.51961419999134,,,,,,,,,,,,,,,,,61.50392529997043,61.51961419999134,62.00350739998976,62.0782514999737,62.09774519997882,63.27301299996907,,,,,,63.27310120000038,63.28604530001758,63.7697253000224,,,,63.786021600011736,62.09774519997882,,,,,,,,left,1,1.1649262999999337,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,1,conjunction,right,20,20,0,left,0,1.1401679000118747,None,,,,,0,20,20,7,63.786021600011736,,,,,,,,,,,,,,,,,63.77000439999392,63.786021600011736,64.26970060000895,64.31189050001558,64.32357730000513,65.4726991999778,,,,,,65.47285059996648,65.48572669998975,65.96993409999413,,,,65.98660150001524,64.32357730000513,,,,,,,,left,0,1.1401679000118747,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,0,conjunction,left,21,21,0,left,1,0.6667554999585263,None,,,,,0,21,21,21,65.98660150001524,,,,,,,,,,,,,,,,,65.97038790001534,65.98660150001524,66.46972260001348,66.49246829998447,66.49892260000343,67.17150649998803,,,,,,67.1716586999828,67.18563269998413,67.67089239996858,,,,67.68564360000892,66.49892260000343,,,,,,,,left,1,0.6667554999585263,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,conjunction,right,22,22,0,right,1,0.8730595000088215,None,,,,,0,22,22,8,67.68564360000892,,,,,,,,,,,,,,,,,67.67164259997662,67.68564360000892,68.17026839999016,68.25852500001201,68.27816170000006,69.15609820000827,,,,,,69.15617949998705,69.16861890000291,69.65243050002027,,,,69.66894269996556,68.27816170000006,,,,,,,,right,1,0.8730595000088215,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,feature,left,23,23,0,left,1,0.6778469000128098,None,,,,,0,23,23,29,69.66894269996556,,,,,,,,,,,,,,,,,69.6525893000071,69.66894269996556,70.15253939997638,70.18884399998933,70.21000299998559,70.88881580001907,,,,,,70.8888865999761,70.9019021000131,71.3870361999725,,,,71.40170689998195,70.21000299998559,,,,,,,,left,1,0.6778469000128098,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,1,feature,right,24,24,0,right,1,0.7188975000171922,None,,,,,0,24,24,13,71.40170689998195,,,,,,,,,,,,,,,,,71.3879063000204,71.40170689998195,71.88571130001219,71.92077819997212,71.9318665000028,72.65443370002322,,,,,,72.6545543000102,72.66827089997241,73.15192249999382,,,,73.16817279998213,71.9318665000028,,,,,,,,right,1,0.7188975000171922,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,conjunction,left,25,25,0,left,1,0.9687804999994114,None,,,,,0,25,25,23,73.16817279998213,,,,,,,,,,,,,,,,,73.152167799999,73.16817279998213,73.65279069996905,73.73729879996972,73.75701449997723,74.73856590001378,,,,,,74.7386612999835,74.75146699999459,75.23538359999657,,,,75.25126459996682,73.75701449997723,,,,,,,,left,1,0.9687804999994114,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,conjunction,left,26,26,0,left,1,0.9387541000032797,None,,,,,0,26,26,10,75.25126459996682,,,,,,,,,,,,,,,,,75.23585060000187,75.25126459996682,75.73610739997821,75.78765499999281,75.79968950001057,76.75356089998968,,,,,,76.7536606999929,76.76774589996785,77.25117160001537,,,,77.26739059999818,75.79968950001057,,,,,,,,left,1,0.9387541000032797,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,1,feature,right,27,27,0,right,1,0.5407597000012174,None,,,,,0,27,27,14,77.26739059999818,,,,,,,,,,,,,,,,,77.25145490001887,77.26739059999818,77.75261419999879,77.81620679999469,77.83553739998024,78.37899950001156,,,,,,78.37916150002275,78.3838932000217,78.86922819999745,,,,78.88411629997427,77.83553739998024,,,,,,,,right,1,0.5407597000012174,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,feature,left,28,28,0,left,1,0.6212871000170708,None,,,,,0,28,28,17,78.88411629997427,,,,,,,,,,,,,,,,,78.86990160000278,78.88411629997427,79.3675830999855,79.40912560001016,79.42936790001113,80.05464400001802,,,,,,80.0547201000154,80.06731850001961,80.55056940001668,,,,80.56714150001062,79.42936790001113,,,,,,,,left,1,0.6212871000170708,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,feature,left,29,29,0,left,1,0.4228389000054449,None,,,,,0,29,29,16,80.56714150001062,,,,,,,,,,,,,,,,,80.55086770001799,80.56714150001062,81.05222969996976,81.10212609998416,81.11619179998524,81.55320999998366,,,,,,81.55332900001667,81.56708750000689,82.05129450000823,,,,82.06746869999915,81.11619179998524,,,,,,,,left,1,0.4228389000054449,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,feature,right,30,30,0,right,1,0.8017556000268087,None,,,,,0,30,30,24,82.06746869999915,,,,,,,,,,,,,,,,,82.05176110001048,82.06746869999915,82.55216399999335,82.56923969998024,82.57646870001918,83.38600009999936,,,,,,83.38616200000979,83.40040559996851,83.88538220000919,,,,83.90113189996919,82.57646870001918,,,,,,,,right,1,0.8017556000268087,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,conjunction,right,31,31,0,left,0,0.4889583000331186,None,,,,,0,31,31,18,83.90113189996919,,,,,,,,,,,,,,,,,83.88614820002113,83.90113189996919,84.38555279996945,84.4181910000043,84.42696969996905,84.92221940000309,,,,,,84.9224869000027,84.93313700001454,85.41821570001775,,,,85.43377050000709,84.42696969996905,,,,,,,,left,0,0.4889583000331186,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,1,feature,right,32,32,0,right,1,0.5192136999685317,None,,,,,0,32,32,1,85.43377050000709,,,,,,,,,,,,,,,,,85.4192691000062,85.43377050000709,85.91742259997409,85.95661380002275,85.97033769998234,86.50277109997114,,,,,,86.50289920001524,86.51674300001469,87.0008925999864,,,,87.01702789997216,85.97033769998234,,,,,,,,right,1,0.5192136999685317,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
24,0,feature,left,33,33,0,left,1,0.7703258999972604,None,,,,,0,33,33,5,87.01702789997216,,,,,,,,,,,,,,,,,87.00153459998546,87.01702789997216,87.50021159998141,87.54924000002211,87.56845550000435,88.34246529999655,,,,,,88.34259209997253,88.3493253000197,88.83291489997646,,,,88.84907130000647,87.56845550000435,,,,,,,,left,1,0.7703258999972604,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
12,0,conjunction,left,34,34,0,left,1,1.0251244999817573,None,,,,,0,34,34,22,88.84907130000647,,,,,,,,,,,,,,,,,88.833200699999,88.84907130000647,89.33423859998584,89.38932580000255,89.40069330000551,90.4350834999932,,,,,,90.43519280001055,90.44907289999537,90.93392839998705,,,,90.94892599998275,89.40069330000551,,,,,,,,left,1,1.0251244999817573,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
4,1,conjunction,right,35,35,0,right,1,0.5758509000297636,None,,,,,0,35,35,30,90.94892599998275,,,,,,,,,,,,,,,,,90.93468050000956,90.94892599998275,91.43246470001759,91.44444880000083,91.4506926999893,92.03415780002251,,,,,,92.0342731999699,92.04877850000048,92.53369000001112,,,,92.57076669996604,91.4506926999893,,,,,,,,right,1,0.5758509000297636,None,,,5,001,2026-04-15_22h23.16.963,midterm_project,,2026.1.1,60.022820689479786,2026-04-15 22h23.17.193531 +0800,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,92.5340872000088,92.57076669996604,,,,,,,,,
