set_size,target_present,condition_type,corr_resp,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,practice_loop.thisRepN,practice_loop.thisTrialN,practice_loop.thisN,practice_loop.thisIndex,formal_loop.thisRepN,formal_loop.thisTrialN,formal_loop.thisN,formal_loop.thisIndex,thisRow.t,notes,piloting,start.started,open_text.started,start_key.started,start.stopped,start_key.keys,start_key.rt,start_key.duration,instr_practice.started,prac_text.started,prac_key.started,instr_practice.stopped,prac_key.keys,prac_key.rt,prac_key.duration,fixation.started,fix_text.started,fixation.stopped,trial.started,key_resp.started,trial.stopped,practice_loop.key_resp.keys,practice_loop.key_resp.corr,practice_loop.key_resp.rt,practice_loop.key_resp.duration,feedback.started,fb_text.started,feedback.stopped,ITI.started,ITI_text.started,ITI.stopped,fb_text.stopped,fix_text.stopped,ITI_text.stopped,instr_formal.started,formal_text.started,formal_key.started,instr_formal.stopped,formal_key.keys,formal_key.rt,formal_key.duration,formal_loop.key_resp.keys,formal_loop.key_resp.corr,formal_loop.key_resp.rt,formal_loop.key_resp.duration,thanks.started,thanks_text.started,thanks.stopped,participant,session,date,expName,expVersion,psychopyVersion,frameRate,expStart,
12,1,conjunction,right,1,1,0,right,1,0.6135161000420339,None,,,,,0,1,1,31,28.857624600001145,,,,,,,,,,,,,,,,,28.845183600031305,28.857624600001145,29.343920500017703,29.372743599989917,29.389980699983425,30.01153570000315,,,,,,,,30.011604900006205,30.024132299993653,30.510298200009856,,29.389980699983425,30.524077699985355,,,,,,,,right,1,0.6135161000420339,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,1,conjunction,right,2,2,0,right,1,0.6466811000136659,None,,,,,0,2,2,19,30.524077699985355,,,,,,,,,,,,,,,,,30.510595400002785,30.524077699985355,31.010678599996027,31.042392499977723,31.056578400020953,31.71069229999557,,,,,,,,31.710756700020283,31.723782300017774,32.21087369997986,,31.056578400020953,32.224012200022116,,,,,,,,right,1,0.6466811000136659,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,conjunction,right,3,3,0,right,1,1.1714610999915749,None,,,,,0,3,3,32,32.224012200022116,,,,,,,,,,,,,,,,,32.211080999986734,32.224012200022116,32.71097870002268,32.77084640000248,32.8060973000247,33.981276499980595,,,,,,,,33.981346899992786,33.99024610000197,34.476710200018715,,,34.49028520000866,,,,,,,,right,1,1.1714610999915749,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,feature,right,4,4,0,right,1,0.8387466000276618,None,,,,,0,4,4,2,34.49028520000866,,,,,,,,,,,,,,,,,34.47686729999259,34.49028520000866,34.976008900033776,35.01097910001408,35.03921439999249,35.87962710001739,,,,,,,,35.87970980000682,35.890310399990994,36.37597150000511,,35.03921439999249,36.38985620002495,,,,,,,,right,1,0.8387466000276618,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,conjunction,left,5,5,0,left,1,1.267887800000608,None,,,,,0,5,5,35,36.38985620002495,,,,,,,,,,,,,,,,,36.37612299999455,36.38985620002495,36.87639490002766,36.9356690000277,36.972433599992655,38.245949600008316,,,,,,,,38.24602339998819,38.256304699985776,38.743357500003185,,36.972433599992655,38.756470200023614,,,,,,,,left,1,1.267887800000608,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,1,feature,right,6,6,0,right,1,0.6726535999914631,None,,,,,0,6,6,14,38.756470200023614,,,,,,,,,,,,,,,,,38.743544000026304,38.756470200023614,39.24313349998556,39.280505200033076,39.30531610001344,39.97855930001242,,,,,,,,39.97862660000101,39.98952609999105,40.476122300024144,,39.30531610001344,40.489475600013975,,,,,,,,right,1,0.6726535999914631,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,feature,right,7,7,0,right,1,0.5103416999918409,None,,,,,0,7,7,0,40.489475600013975,,,,,,,,,,,,,,,,,40.476308799989056,40.489475600013975,40.977579800004605,40.98491499997908,41.005316900031175,41.5276268000016,,,,,,,,41.527721800026484,41.53981470002327,42.02581540000392,,41.005316900031175,42.039386500022374,,,,,,,,right,1,0.5103416999918409,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,feature,left,8,8,0,left,1,0.8068143000127748,None,,,,,0,8,8,28,42.039386500022374,,,,,,,,,,,,,,,,,42.02598610002315,42.039386500022374,42.52546620002249,42.545254299999215,42.571660300018266,43.394158000010066,,,,,,,,43.394245100033004,43.4056437999825,43.89181240001926,,42.571660300018266,43.90574369998649,,,,,,,,left,1,0.8068143000127748,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,0,conjunction,left,9,9,0,left,1,0.9191816000384279,None,,,,,0,9,9,33,43.90574369998649,,,,,,,,,,,,,,,,,43.891969299991615,43.90574369998649,44.39194330002647,44.40351259999443,44.421288900019135,45.3436332999845,,,,,,,,45.34371829999145,45.35544050001772,45.84222639998188,,44.421288900019135,45.85494049999397,,,,,,,,left,1,0.9191816000384279,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,conjunction,right,10,10,0,right,1,0.6450216000084765,None,,,,,0,10,10,18,45.85494049999397,,,,,,,,,,,,,,,,,45.842386100033764,45.85494049999397,46.34306550002657,46.355395600025076,46.37075940001523,47.02760869998019,,,,,,,,47.02769090002403,47.03845980000915,47.524869000015315,,46.37075940001523,47.53845150000416,,,,,,,,right,1,0.6450216000084765,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,feature,left,11,11,0,left,1,0.7241078999941237,None,,,,,0,11,11,29,47.53845150000416,,,,,,,,,,,,,,,,,47.52503349998733,47.53845150000416,48.02722910000011,48.07124690001365,48.10421279998263,48.84267669997644,,,,,,,,48.84273989999201,48.85496830003103,49.34089180000592,,48.10421279998263,49.35491320001893,,,,,,,,left,1,0.7241078999941237,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,feature,right,12,12,0,right,1,0.620060499990359,None,,,,,0,12,12,24,49.35491320001893,,,,,,,,,,,,,,,,,49.34103050001431,49.35491320001893,49.843597600003704,49.8515651000198,49.87062429997604,50.49296740000136,,,,,,,,50.49305900000036,50.50541460001841,50.99246300000232,,,51.004820200032555,,,,,,,,right,1,0.620060499990359,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,feature,left,13,13,0,left,1,1.079237500031013,None,,,,,0,13,13,16,51.004820200032555,,,,,,,,,,,,,,,,,50.992638600000646,51.004820200032555,51.490892000030726,51.510077900020406,51.536970900022425,52.62547720002476,,,,,,,,52.62554119998822,52.63765420002164,53.125317300029565,,51.536970900022425,53.13762940000743,,,,,,,,left,1,1.079237500031013,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,conjunction,left,14,14,0,right,0,1.1207770999753848,None,,,,,0,14,14,11,53.13762940000743,,,,,,,,,,,,,,,,,53.12552479997976,53.13762940000743,53.62374579999596,53.68497910001315,53.720006600022316,54.842618599999696,,,,,,,,54.842684200033545,54.85432949999813,55.34040639997693,,53.720006600022316,55.354097999981605,,,,,,,,right,0,1.1207770999753848,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
12,0,conjunction,left,15,15,0,left,1,1.0125839000102133,None,,,,,0,15,15,10,55.354097999981605,,,,,,,,,,,,,,,,,55.34055919997627,55.354097999981605,55.84100389998639,55.87765500001842,55.903206999995746,56.92527369997697,,,,,,,,56.925350499979686,56.93726470001275,57.42578069999581,,55.903206999995746,,,,,,,,,left,1,1.0125839000102133,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,conjunction,left,16,16,0,right,0,0.7881025999668054,None,,,,,0,16,16,23,57.4371810000157,,,,,,,,,,,,,,,,,57.42600440001115,57.4371810000157,57.92327510000905,57.98287700000219,58.00252450001426,58.792912199976854,,,,,,,,58.79298979998566,58.80374619999202,59.290584500005934,,58.00252450001426,59.3034618999809,,,,,,,,right,0,0.7881025999668054,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
24,0,feature,left,17,17,0,left,1,0.6877978999982588,None,,,,,0,17,17,5,59.3034618999809,,,,,,,,,,,,,,,,,59.2907626000233,59.3034618999809,59.79002190002939,59.828022100031376,59.85274160001427,60.541301399993245,,,,,,,,60.54136730002938,60.55344829999376,61.040341300016735,,59.85274160001427,61.05350089998683,,,,,,,,left,1,0.6877978999982588,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
4,1,conjunction,right,18,18,0,right,1,0.6597032000427134,None,,,,,0,18,18,30,61.05350089998683,,,,,,,,,,,,,,,,,61.04051969997818,61.05350089998683,61.541161599976476,61.55326930002775,61.56911600002786,62.240042600024026,,,,,,,,62.240113999985624,62.25276020000456,62.739476300019305,,61.56911600002786,62.75326169998152,,,,,,,,right,1,0.6597032000427134,None,,,,pilot,001,2026-04-15_20h30.58.191,midterm_project,,2026.1.1,60.16503268756271,2026-04-15 20h30.58.807999 +0800,
